"","x"
"1","neue geldpolitik"
"2","corona krise"
"3","zinswende nötig"
"4","nötig finden"
"5","finden edmund"
"6","edmund stoiber"
"7","stoiber peer"
"8","peer steinbrück"
"9","steinbrück wolfgang"
"10","wolfgang clement"
"11","clement günther"
"12","günther oettinger"
"13","oettinger hans"
"14","hans werner"
"15","werner sinn"
"16","sinn franz"
"17","franz christoph"
"18","christoph zeitler"
"19","zeitler kurt"
"20","kurt faltlhauser"
"21","marcus vitt"
"22","coronavirus krise"
"23","welt derzeit"
"24","hierbei primär"
"25","nachfragepolitik wenig"
"26","wenig beikommen"
"27","europäische zentralbank"
"28","zentralbank ezb"
"29","12 märz"
"30","gezeigt dass"
"31","amerikanischen fed"
"32","weitere zinssenkungen"
"33","zinssenkungen mehr"
"34","präsidentin lagarde"
"35","recht ausgeführt"
"36","eurosystems zinsunterschiede"
"37","weiteres absinken"
"38","krisenbedingten kreditausfällen"
"39","kreditausfällen schwächen"
"40","geldpolitische strategie"
"41","längerfristig angelegt"
"42","zeit danach"
"43","vertrauens schaffen"
"44","hintergrund halten"
"45","geboten dabei"
"46","dabei geht"
"47","radikalen zins"
"48","zins schwenk"
"49","schwenk wohl"
"50","1 5"
"51","schrittweise normalisierung"
"52","überbordenden geldflutung"
"53","europäischen währungssystems"
"54","erster schritt"
"55","geldpolitischen vorankündigung"
"56","vorankündigung forward"
"57","forward guidance"
"58","darin bestehen"
"59","negativen einlagenzinssatz"
"60","nulllinie anzuheben"
"61","finanzkrise 2008"
"62","2008 2009"
"63","dato beispiellosen"
"64","beispiellosen niedrigzinspolitik"
"65","situation beigetragen"
"66","zwei leitzinsanhebungen"
"67","leitzinsanhebungen 2011"
"68","2011 rutschte"
"69","eurozone jedoch"
"70","jedoch abermals"
"71","rezession gleichzeitig"
"72","gleichzeitig drohte"
"73","staatsschuldenkrise griechenlands"
"74","weitere staaten"
"75","eurozone überzugreifen"
"76","ezb reagierte"
"77","abermaligen zinssenkungen"
"78","null prozent"
"79","prozent untermauert"
"80","untermauert wurde"
"81","whatever it"
"82","it takes"
"83","takes rede"
"84","damaligen ezb"
"85","ezb präsidenten"
"86","präsidenten mario"
"87","mario draghi"
"88","juli 2012"
"89","augen vieler"
"90","vieler beobachter"
"91","beobachter implizit"
"92","unbegrenzte gemeinschaftshaftung"
"93","mitgliedstaaten erklärt"
"94","finanzmärkte erfolgreich"
"95","erfolgreich stabilisiert"
"96","arbeitslosigkeit sank"
"97","sank deutlich"
"98","deutlich dagegen"
"99","dagegen stehen"
"100","parlamenten vorbei"
"101","vorbei beschlossen"
"102","beschlossen wurden"
"103","wurden trotz"
"104","trotz erfolgreicher"
"105","erfolgreicher stabilisierung"
"106","extrem niedrigen"
"107","niedrigen zinsen"
"108","zinsen beibehalten"
"109","ungeahnter höhe"
"110","höhe sogar"
"111","andauernde politik"
"112","außerordentlich billigen"
"113","billigen geldes"
"114","geldes eingeschlagen"
"115","vereinigten staaten"
"116","bankenkrise 2008"
"117","2008 2009"
"118","2009 stand"
"119","hintergrund wurde"
"120","wurde zunächst"
"121","deflationsspirale genannt"
"122","nahe 2"
"123","2 prozent"
"124","ezb 2003"
"125","geldpolitischen umfeld"
"126","umfeld beschlossen"
"127","maastrichter vertrag"
"128","vertrag verlangt"
"129","verlangt preisstabilität"
"130","preisziel verwandeln"
"131","verwandeln darf"
"132","euroraums stets"
"133","stets weit"
"134","deflationsgrenze entfernt"
"135","inflationsrate gering"
"136","ezb präsidentin"
"137","präsidentin christine"
"138","christine lagarde"
"139","angekündigte bestandsaufnahme"
"140","geldpolitischen strategie"
"141","jüngsten finanzmarktstabilitätsbericht"
"142","immer deutlicher"
"143","deutlicher werdenden"
"144","werdenden negativen"
"145","negativen nebenwirkungen"
"146","jahrelangen politik"
"147","billigen geldes"
"148","geldes hingewiesen"
"149","deutsche staat"
"150","gerade sparer"
"151","künftige rentner"
"152","verlierer deutschland"
"153","nettogläubiger gegenüber"
"154","welt sogar"
"155","sparer verlieren"
"156","staat gewinnt"
"157","gewinnt frau"
"158","frau lagarde"
"159","jahres vorzunehmen"
"160","verschiedene meinungen"
"161","ezb geldpolitik"
"162","neuadjustierung einfließen"
"163","notwendige korrektur"
"164","geldpolitischen kurses"
"165","kurses geben"
"166","geben unsere"
"167","unsere argumente"
"168","argumente trotz"
"169","trotz jahrelanger"
"170","jahrelanger niedrigzins"
"171","niedrigzins politik"
"172","politik massiver"
"173","massiver anleihekäufe"
"174","folge übergroßer"
"175","übergroßer liquidität"
"176","wirtschaftlichen booms"
"177","ende 2017"
"178","2017 wurde"
"179","zwei prozent"
"180","prozent ziel"
"181","ziel bisher"
"182","nachhaltig erreicht"
"183","erreicht offensichtlich"
"184","gegriffen trotzdem"
"185","verwendet 2"
"186","2 5"
"187","5 neben"
"188","überschuldeten länder"
"189","länder italien"
"190","griechenland sollten"
"191","niedrigste zinsen"
"192","schwierigkeiten bewahrt"
"193","obwohl hierfür"
"194","hierfür seit"
"195","seit 2012"
"196","europäischen stabilitätsmechanismus"
"197","verfügung stehen"
"198","reformauflagen gebunden"
"199","solide haushaltsführung"
"200","wachstumsstärkende strukturelle"
"201","strukturelle reformen"
"202","reformen verringert"
"203","verringert dabei"
"204","niedrigerer bonität"
"205","gestörten umsetzung"
"206","fiskalpaktes somit"
"207","somit stärken"
"208","rettungspolitik finanzpolitik"
"209","finanzpolitik betrieben"
"210","mandats erreicht"
"211","ezb politik"
"212","null prozent"
"213","prozent linie"
"214","linie spätestens"
"215","negativen bereich"
"216","bereich entwertet"
"217","wichtigste handlungsinstrument"
"218","leitzinses bestand"
"219","zeiten zielführender"
"220","zielführender ezb"
"221","ezb politik"
"222","höheres wirtschaftswachstum"
"223","wirtschaftswachstum anzustoßen"
"224","zentralbank jedoch"
"225","jahre hinweg"
"226","nullzinspolitik verbleibt"
"227","mehr einsetzbar"
"228","letzte senkung"
"229","mario draghi"
"230","sichtbaren einfluss"
"231","banken investitionen"
"232","wichtigste engpass"
"233","engpass liegt"
"234","liegt offensichtlich"
"235","verfügbarem kapital"
"236","technischen wettbewerbsfähigkeit"
"237","wettbewerbsfähigkeit großer"
"238","großer teile"
"239","teile europas"
"240","notwendigen krisenmanagement"
"241","krisenmanagement 2012"
"242","massenhaften ankauf"
"243","politik entschlossen"
"244","augen vieler"
"245","vieler beobachter"
"246","beobachter weit"
"247","preisstabilität hinausgeht"
"248","staatsfinanzierung geführt"
"249","quantitative easing"
"250","easing qe"
"251","seit november"
"252","20 milliarden"
"253","milliarden euro"
"254","euro pro"
"255","pro monat"
"256","monat fortgesetzt"
"257","neuesten beschluss"
"258","beschluss zusätzlich"
"259","120 milliarden"
"260","milliarden euro"
"261","wertpapierkäufe stecken"
"262","vorangegangene überschwemmung"
"263","kapitalmärkte verschärft"
"264","verschärft jedoch"
"265","negativzins politik"
"266","erheblichen wirtschaftlichen"
"267","wirtschaftlichen schwäche"
"268","stabilisierung möglicher"
"269","möglicher turbulenzen"
"270","coronavirus bleibt"
"271","geringer handlungsspielraum"
"272","beobachter schon"
"273","extremeren formen"
"274","gar helikoptergeld"
"275","helikoptergeld sprechen"
"276","sprechen besonders"
"277","besonders gravierend"
"278","folgende fehlsteuerungen"
"279","fehlsteuerungen 1"
"280","negativzinspolitik erleidet"
"281","kleine sparer"
"282","sparer reale"
"283","reale vermögensverluste"
"284","notenbanken eigentlich"
"285","eigentlich verhindern"
"286","verhindern sollen"
"287","deutschland geförderte"
"288","geförderte positive"
"289","positive einstellung"
"290","beschädigt viele"
"291","viele private"
"292","deutschland nutzen"
"293","vermehrtem konsum"
"294","altersarmut wächst"
"295","wächst 2"
"296","nachhaltig geschädigt"
"297","vorwurf gemacht"
"298","großzügige rentengeschenke"
"299","langfristige stabilität"
"300","lang anhaltende"
"301","anhaltende nullzinspolitik"
"302","nullzinspolitik schädigt"
"303","altersvorsorge jedoch"
"304","mehr 3"
"305","3 5"
"306","5 betroffen"
"307","zuletzt betriebsrenten"
"308","betriebsrenten unternehmen"
"309","unternehmen müssen"
"310","müssen erheblich"
"311","erheblich höhere"
"312","höhere rückstellungen"
"313","rückstellungen vornehmen"
"314","arbeitsplätze pensionskassen"
"315","pensionskassen versorgungswerke"
"316","institutionelle anleger"
"317","immer größerem"
"318","größerem umfang"
"319","risikoreichere anlagen"
"320","anlagen getrieben"
"321","adäquate verzinsung"
"322","verwalteten kapitals"
"323","gefahr empfindlicher"
"324","empfindlicher kursverluste"
"325","fester zinsgarantie"
"326","stabilste instrument"
"327","instrument privater"
"328","privater altersvorsorge"
"329","ezb politik"
"330","stark belastet"
"331","garantiezinsen stellt"
"332","stellt versicherungsunternehmen"
"333","enorme herausforderungen"
"334","herausforderungen 3"
"335","3 gleichzeitig"
"336","immobilien immer"
"337","führt neben"
"338","schmerzhaften korrekturen"
"339","korrekturen schon"
"340","schon heute"
"341","unerwünschten verteilungswirkungen"
"342","verteilungswirkungen wohlhabende"
"343","wohlhabende bürger"
"344","überproportional aktien"
"345","immobilien besitzen"
"346","besitzen mehren"
"347","vermögen erheblich"
"348","erheblich weite"
"349","weite teile"
"350","mittleren einkommensschichten"
"351","zumeist keinerlei"
"352","keinerlei ersparnisse"
"353","anlagen verzinslich"
"354","konten vornehmen"
"355","vornehmen profitieren"
"356","realvermögen erheblich"
"357","erheblich erschwert"
"358","erschwert insbesondere"
"359","vielen großstädten"
"360","großstädten kaum"
"361","sozialen frieden"
"362","politische stabilität"
"363","stabilität gefährdet"
"364","gefährdet 4"
"365","kulturellen einrichtungen"
"366","stiftungen getragen"
"367","kapitalmarkt ertragreich"
"368","ertragreich plazieren"
"369","überwiegende anlage"
"370","vorsichtsgründen verbietet"
"371","verbietet fehlt"
"372","fehlt vielen"
"373","vielen stiftungen"
"374","stiftungen aktuell"
"375","laufende arbeit"
"376","ezb zinspolitik"
"377","zinspolitik schädigt"
"378","praktische sozialarbeit"
"379","kulturelle leben"
"380","deutschland 5"
"381","wesentlicher teil"
"382","geschäftsmodells deutscher"
"383","deutscher banken"
"384","hohem maße"
"385","maße eingeschränkt"
"386","dadurch eingeschränkte"
"387","eingeschränkte rentabilität"
"388","rentabilität geht"
"389","ezb politik"
"390","deutschen banken"
"391","deren erfolg"
"392","internationalen wettbewerb"
"393","wettbewerb deutlich"
"394","deutlich beeinträchtigt"
"395","beeinträchtigt viele"
"396","viele banken"
"397","banken zehren"
"398","langfristig laufenden"
"399","laufenden altkrediten"
"400","daraus resultierenden"
"401","resultierenden bilanzgewinne"
"402","zeiten geopolitischer"
"403","geopolitischer neuordnungen"
"404","daraus resultierend"
"405","resultierend zunehmender"
"406","zunehmender unsicherheiten"
"407","wettbewerbsfähiges europäisches"
"408","europäisches bankensystem"
"409","wichtige voraussetzung"
"410","unterstützen 6"
"411","ezb führt"
"412","dass geld"
"413","immer riskantere"
"414","unrentable projekte"
"415","unternehmen investiert"
"416","zombie firmen"
"417","geld führt"
"418","drastischer volkswirtschaftlicher"
"419","volkswirtschaftlicher fehlallokation"
"420","produktivitätsverlusten sowie"
"421","wirtschaftsstandorts deutschland"
"422","deutschland sollten"
"423","steigen besteht"
"424","erhöhtes risiko"
"425","dadurch verursachter"
"426","verursachter anleihe"
"427","kreditausfälle sowie"
"428","sowie arbeitsplatzverluste"
"429","arbeitsplatzverluste 4"
"430","4 5"
"431","deutschlands wirtschaftliche"
"432","wirtschaftliche stabilität"
"433","dringend strukturreformen"
"434","innovationen gefordert"
"435","ezb fördert"
"436","fördert jedoch"
"437","jedoch scheinrentabilität"
"438","lässt investitionen"
"439","investitionen rentabel"
"440","rentabel erscheinen"
"441","vielfältigen nebenwirkungen"
"442","nebenwirkungen rechtfertigen"
"443","ultraexpansiven geldpolitik"
"444","mehr je"
"445","je länger"
"446","bestehende strategie"
"447","strategie beibehalten"
"448","umso schwerer"
"449","restriktiverer kurs"
"450","kurs eingeschlagen"
"451","drängen daher"
"452","baldiges signal"
"453","zinswende zumindest"
"454","verzicht weiterer"
"455","weiterer expansiver"
"456","expansiver geldpolitischer"
"457","geldpolitischer maßnahmen"
"458","niedrigere negativzinsen"
"459","weitere wertpapierkäufe"
"460","wertpapierkäufe wegen"
"461","coronavirus krise"
"462","ezb ohnehin"
"463","ohnehin kaum"
"464","zinswende eingeleitet"
"465","gut vorbereitet"
"466","kommunikativ sensibel"
"467","sensibel begleitet"
"468","begleitet erfolgen"
"469","erfolgen darf"
"470","darf jedoch"
"471","ganzes jahr"
"472","warten lassen"
"473","lassen 5"
"474","5 5"
"475","historischer tag"
"476","deutschland schließen"
"477","umsatz fällt"
"478","durststrecke gerüstet"
"479","alexander timme"
"480","beiden festangestellten"
"481","festangestellten mitarbeitern"
"482","laden schließt"
"483","schließt herrscht"
"484","jahrzehnt lang"
"485","frankfurter stadtteil"
"486","stadtteil bornheim"
"487","geschäft aufgebaut"
"488","jazz lps"
"489","lps verkauft"
"490","china deshalb"
"491","deshalb merkte"
"492","corona krise"
"493","krise frühzeitig"
"494","bundesländer angeordnet"
"495","angeordnet viele"
"496","viele einzelhandelsgeschäfte"
"497","handelsverband deutschland"
"498","deutschland hde"
"499","hde warnte"
"500","non food"
"501","food bereich"
"502","bereich fallen"
"503","tag 1,15"
"504","1,15 milliarden"
"505","milliarden euro"
"506","euro umsatz"
"507","hauptgeschäftsführer stefan"
"508","stefan genth"
"509","bundeskanzlerin fordert"
"510","verband unbürokratische"
"511","unbürokratische staatliche"
"512","staatliche hilfe"
"513","einzelhändler ansonsten"
"514","ansonsten drohten"
"515","drohten firmeninsolvenzen"
"516","millionen arbeitsplätzen"
"517","direktzahlungen kfw"
"518","kfw bürgschaften"
"519","eigenbeteiligung sowie"
"520","sofortige stundung"
"521","april fälligen"
"522","fälligen zahlungen"
"523","verband appelliert"
"524","appelliert zudem"
"525","ladenlokalen mieten"
"526","mieten auszusetzen"
"527","ermöglichen plattenhändler"
"528","plattenhändler timme"
"529","ladens analogetonträger"
"530","frage dekoriert"
"531","grundsoliden betrieb"
"532","betrieb mangele"
"533","hofft darauf"
"534","darauf dass"
"535","zwei angestellten"
"536","angestellten kurzarbeitergeld"
"537","kurzarbeitergeld bewilligt"
"538","onlinehandel umzusteigen"
"539","umzusteigen sei"
"540","sei unmöglich"
"541","aufkauft müsse"
"542","augenschein nehmen"
"543","schuhgeschäft deshalb"
"544","deshalb brauchen"
"545","krisenberater david"
"546","david rölleke"
"547","rölleke sieht"
"548","sieht blanke"
"549","blanke angst"
"550","angst ausbrechen"
"551","zwei inhaberinnen"
"552","nachfolger übergeben"
"553","übergeben wollten"
"554","wollten gespräche"
"555","gespräche hätten"
"556","tag erledigt"
