"","x"
"1","zinswende nötig finden"
"2","nötig finden edmund"
"3","finden edmund stoiber"
"4","edmund stoiber peer"
"5","stoiber peer steinbrück"
"6","peer steinbrück wolfgang"
"7","steinbrück wolfgang clement"
"8","wolfgang clement günther"
"9","clement günther oettinger"
"10","günther oettinger hans"
"11","oettinger hans werner"
"12","hans werner sinn"
"13","werner sinn franz"
"14","sinn franz christoph"
"15","franz christoph zeitler"
"16","christoph zeitler kurt"
"17","zeitler kurt faltlhauser"
"18","nachfragepolitik wenig beikommen"
"19","europäische zentralbank ezb"
"20","weitere zinssenkungen mehr"
"21","krisenbedingten kreditausfällen schwächen"
"22","geboten dabei geht"
"23","radikalen zins schwenk"
"24","zins schwenk wohl"
"25","geldpolitischen vorankündigung forward"
"26","vorankündigung forward guidance"
"27","finanzkrise 2008 2009"
"28","dato beispiellosen niedrigzinspolitik"
"29","zwei leitzinsanhebungen 2011"
"30","leitzinsanhebungen 2011 rutschte"
"31","eurozone jedoch abermals"
"32","rezession gleichzeitig drohte"
"33","null prozent untermauert"
"34","prozent untermauert wurde"
"35","whatever it takes"
"36","it takes rede"
"37","damaligen ezb präsidenten"
"38","ezb präsidenten mario"
"39","präsidenten mario draghi"
"40","augen vieler beobachter"
"41","vieler beobachter implizit"
"42","finanzmärkte erfolgreich stabilisiert"
"43","arbeitslosigkeit sank deutlich"
"44","sank deutlich dagegen"
"45","deutlich dagegen stehen"
"46","parlamenten vorbei beschlossen"
"47","vorbei beschlossen wurden"
"48","beschlossen wurden trotz"
"49","wurden trotz erfolgreicher"
"50","trotz erfolgreicher stabilisierung"
"51","extrem niedrigen zinsen"
"52","niedrigen zinsen beibehalten"
"53","ungeahnter höhe sogar"
"54","außerordentlich billigen geldes"
"55","billigen geldes eingeschlagen"
"56","bankenkrise 2008 2009"
"57","2008 2009 stand"
"58","hintergrund wurde zunächst"
"59","nahe 2 prozent"
"60","geldpolitischen umfeld beschlossen"
"61","maastrichter vertrag verlangt"
"62","vertrag verlangt preisstabilität"
"63","preisziel verwandeln darf"
"64","euroraums stets weit"
"65","ezb präsidentin christine"
"66","präsidentin christine lagarde"
"67","immer deutlicher werdenden"
"68","deutlicher werdenden negativen"
"69","werdenden negativen nebenwirkungen"
"70","billigen geldes hingewiesen"
"71","staat gewinnt frau"
"72","gewinnt frau lagarde"
"73","geldpolitischen kurses geben"
"74","kurses geben unsere"
"75","geben unsere argumente"
"76","unsere argumente trotz"
"77","argumente trotz jahrelanger"
"78","trotz jahrelanger niedrigzins"
"79","jahrelanger niedrigzins politik"
"80","niedrigzins politik massiver"
"81","politik massiver anleihekäufe"
"82","folge übergroßer liquidität"
"83","ende 2017 wurde"
"84","zwei prozent ziel"
"85","prozent ziel bisher"
"86","nachhaltig erreicht offensichtlich"
"87","verwendet 2 5"
"88","2 5 neben"
"89","überschuldeten länder italien"
"90","obwohl hierfür seit"
"91","hierfür seit 2012"
"92","wachstumsstärkende strukturelle reformen"
"93","strukturelle reformen verringert"
"94","reformen verringert dabei"
"95","fiskalpaktes somit stärken"
"96","rettungspolitik finanzpolitik betrieben"
"97","null prozent linie"
"98","prozent linie spätestens"
"99","negativen bereich entwertet"
"100","zeiten zielführender ezb"
"101","zielführender ezb politik"
"102","höheres wirtschaftswachstum anzustoßen"
"103","wichtigste engpass liegt"
"104","engpass liegt offensichtlich"
"105","technischen wettbewerbsfähigkeit großer"
"106","wettbewerbsfähigkeit großer teile"
"107","großer teile europas"
"108","notwendigen krisenmanagement 2012"
"109","augen vieler beobachter"
"110","vieler beobachter weit"
"111","quantitative easing qe"
"112","20 milliarden euro"
"113","milliarden euro pro"
"114","euro pro monat"
"115","pro monat fortgesetzt"
"116","neuesten beschluss zusätzlich"
"117","120 milliarden euro"
"118","kapitalmärkte verschärft jedoch"
"119","erheblichen wirtschaftlichen schwäche"
"120","stabilisierung möglicher turbulenzen"
"121","gar helikoptergeld sprechen"
"122","helikoptergeld sprechen besonders"
"123","sprechen besonders gravierend"
"124","folgende fehlsteuerungen 1"
"125","kleine sparer reale"
"126","sparer reale vermögensverluste"
"127","notenbanken eigentlich verhindern"
"128","eigentlich verhindern sollen"
"129","deutschland geförderte positive"
"130","geförderte positive einstellung"
"131","beschädigt viele private"
"132","altersarmut wächst 2"
"133","lang anhaltende nullzinspolitik"
