actor;policy;link;type;date;check_run
BVMW;konjunkturpaket;https://www.bvmw.de/news/6277/mittelstand-mit-konjunkturpaket-unzufrieden/;meldung;23.06.2020;
BVMW;konjunkturpaket;https://www.bvmw.de/news/6248/ziel-muss-dauerhaft-einheitlicher-mehrwertsteuersatz-von-15-sein/;meldung;17.06.2020;
BVMW;wrtschaftsstabilisierungsfonds;https://www.bvmw.de/news/12223/mittelstand-befuerwortet-umwidmung-des-wirtschaftsstabilisierungsfonds/;meldung;04.04.2022;
BVMW;Novemberhilfe;https://www.bvmw.de/news/7592/mittelstand-mahnt-dringende-nachbesserungen-bei-novemberhilfen-an-2/;meldung;24.11.2020;
BDI;coronahilfe;https://bdi.eu/artikel/news/absenkung-muss-anfang-vom-ende-der-eeg-umlage-sein/;statement;15.10.2020;
BDI;coronahilfe;https://bdi.eu/artikel/news/eu-erweist-sich-als-handlungsfaehig-und-solidarisch/;Statement ;21.07.2020;
BDI;coronahilfe;https://bdi.eu/artikel/news/bundesregierung-schliesst-mittelstandsluecke/;Statement ;06.04.2020;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/tag-der-industrie-2021/;Meldung ;22.06.2021;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/rede-des-bdi-praesidenten-zur-zukunft-der-wertschoepfung/;Statement;22.04.2021;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/deutsch-franzoesische-wirtschaftskooperation-soll-eu-aus-der-krise-helfen/;meldung;26.10.2020;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/gelingen-des-wirtschaftlichen-neustarts-auf-der-kippe/;statement;14.08.2020;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/starkes-signal-fuer-buerger-und-unternehmen/;statement;04.06.2020;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/lockerungen-des-gesellschaftlichen-lebens-wichtig-fuer-unternehmen-abgestimmter-ausstiegsplan-fehlt/;statement;06.05.2020;
BDI;konjunkturpaket;https://bdi.eu/artikel/news/ein-erneuter-shutdown-haette-unabsehbare-folgen-fuer-das-land/;statement;17.04.2020;
BDI;Wirtschaftsstabilisierungsfonds;https://bdi.eu/artikel/news/bundesregierung-muss-staerke-der-unternehmen-bewahren/;statement;30.03.2022;
BDI;Wirtschaftsstabilisierungsfonds;https://bdi.eu/artikel/news/verhandlungen-nicht-mit-politischen-zielen-ueberfrachten/ ;statement;11.05.2020;1
BDI;Wirtschaftsstabilisierungsfonds;https://bdi.eu/artikel/news/schnellstmoeglich-konjunkturprogramm-fuer-wieder-hochlauf-auf-den-weg-bringen/;statement;29.04.2020;
BDI;Wirtschaftsstabilisierungsfonds;https://bdi.eu/artikel/news/derzeitige-diskussion-droht-unternehmen-abzuschrecken/;statement;28.04.2020;
BDI;Wirtschaftsstabilisierungsfonds;https://bdi.eu/artikel/news/wichtiger-schritt-fuer-unsere-unternehmen/;statement;23.04.2020;
BDI;Überbrückungshilfe;https://bdi.eu/artikel/news/beschluesse-bleiben-hinter-erwartungen-der-wirtschaft-zurueck/;statement;19.11.2020;
BDI;Überbrückungshilfe;https://bdi.eu/artikel/news/kein-ausreichender-planungshorizont-fuer-die-wirtschaft/;statement;26.11.2020;
BDI;Überbrückungshilfe;https://bdi.eu/artikel/news/corona-massnahmen-die-beschluesse-sind-sehr-schmerzhaft/;statement;29.10.2020;
BDI;Überbrückungshilfe;https://bdi.eu/artikel/news/grosse-koalition-hat-ernst-der-lage-erkannt/;statement;26.08.2020;
BDI;Überbrückungshilfe;https://bdi.eu/artikel/news/bundesregierung-hat-das-richtige-getan/;statement;17.03.2020;
BDI;Corona-Steuerhilfegesetz;https://bdi.eu/artikel/news/schnellstmoeglich-verlustverrechnung-ausweiten/;statement;05.05.2020;
BDI;KfW-Kredite;https://bdi.eu/artikel/news/ende-der-bezuschussung-von-energieeffizienten-gebaeuden-bund-sollte-foerderung-sofort-wieder-aufnehm/;statement;24.02.2022;
BDI;KfW-Kredite;https://bdi.eu/artikel/news/wichtige-erleichterung-fuer-deutsche-exportwirtschaft/;statement;08.07.2020;
BDI;KfW-Kredite;https://bdi.eu/artikel/news/einstieg-in-notwendigen-schutzschirm-fuer-stabilitaet/;statement;08.04.2022;
BDI;KfW-Kredite;https://bdi.eu/artikel/news/bundesregierung-muss-staerke-der-unternehmen-bewahren/;statement;30.03.2022;
BDI;Neustart-hilfe;https://bdi.eu/artikel/news/politik-muss-groesseres-augenmerk-auf-abbau-von-buerokratie-richten/;statement;25.05.2020;
BDI;Überbrückungshilfe IV;https://bdi.eu/artikel/news/grosse-koalition-hat-ernst-der-lage-erkannt/;statement;26.08.2020;
BAU;Konjunkturpaket;https://www.bauindustrie.de/pm/konjunkturpaket-jetzt-umsetzen-planungs-und-bauwirtschaft-schlaegt-konkrete-massnahmen-vor;Pressemitteilung;06.07.2020;
BAU;Konjunkturpaket;https://www.bauindustrie.de/pm/koalition-legt-mit-konjunkturpaket-guten-start-hin;Pressemitteilung;04.06.2020;
BAU;Konjunkturpaket;https://www.bauindustrie.de/pm/bauindustrie-fordert-erleichterungen-bei-umsatzsteuersenkung;Pressemitteilung;10.06.2020;
BAU;Konjunkturpaket;https://www.bauindustrie.de/pm/bauindustrie-zum-kfw-kommunalpanel-2020;Pressemitteilung;05.06.2020;
BAU;Konjunkturpaket;https://www.bauindustrie.de/pm/die-corona-pandemie-hinterlaesst-deutliche-spuren;Pressemitteilung;28.05.2020;
BAU;Konjunkturpaket;https://www.bauindustrie.de/pm/staus-verringern-durch-schnelleres-bauen;Pressemitteilung;21.04.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Jedes-dritte-Startup-hat-Corona-Hilfen-erhalten;Pressemitteilung;11.06.2021;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Corona-Hilfen-fuer-die-Wirtschaft-laufen-noch-nicht-rund;Pressemitteilung;07.12.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Corona-Note-mangelhaft-Eltern-gehen-mit-Schulen-hart-ins-Gericht;Pressemitteilung;14.09.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Flickenteppich-bei-Corona-Hilfen-fuer-Startups;Pressemitteilung;11.09.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zu-Corona-Hilfen-fuer-Kommunen;Pressemitteilung;02.06.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Digitalisierungsschub-statt-analogem-Strohfeuer;Pressemitteilung;02.06.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zum-Corona-Wiederaufbauplan-der-EU-Kommission;Pressemitteilung;27.05.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Bitkom-und-Bankenverband-fordern-schnelle-Corona-Hilfe-fuer-Startups;Pressemitteilung;25.05.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zu-Corona-Hilfen-fuer-digitale-Schulbildung;Pressemitteilung;15.05.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Digitalindex-rutscht-tief-ins-Minus;Pressemitteilung;29.04.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zu-Corona-Hilfen-fuer-beduerftige-Schueler;Pressemitteilung;24.04.2020;
BITKOM;Coronahilfe;https://www.bitkom.org/Presse/Presseinformation/Corona-Krise-Wo-Startups-jetzt-Hilfe-bekommen;Pressemitteilung;02.04.2020;
BITKOM;Konjunkturpaket;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zur-digitalpolitischen-Bilanz-der-Grossen-Koalition;Pressemitteilung;25.06.2021;
BITKOM;Konjunkturpaket;https://www.bitkom.org/Presse/Presseinformation/IT-Mittelstand-erwirtschaftet-84-Milliarden-Euro;Pressemitteilung;02.07.2020;
BITKOM;Konjunkturpaket;https://www.bitkom.org/Presse/Presseinformation/Bitkom-fordert-Klarheit-bei-Mehrwertsteuersenkung;Pressemitteilung;12.06.2020;
BITKOM;Konjunkturpaket;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zu-Deutschlands-Position-im-Digitalindex-der-EU;Pressemitteilung;11.06.2020;
BITKOM;Konjunkturpaket;https://www.bitkom.org/Presse/Presseinformation/Bitkom-zum-Konjunkturpaket-der-Regierungsparteien;Pressemitteilung;04.06.2020;
BITKOM;Konjunkturpaket;https://www.bitkom.org/Presse/Presseinformation/Digitalgutschein-Homeoffice-Bonus-und-digitale-Schulen-Bitkom-praesentiert-Digitalpakt-Deutschland;Pressemitteilung;01.05.2020;
BITKOM;Wirtschaftsstabilisierungsfonds;https://www.bitkom.org/Presse/Presseinformation/Corona-Krise-Wo-Startups-jetzt-Hilfe-bekommen;Pressemitteilung;02.04.2020;
BITKOM;Corona-Soforthilfe;https://www.bitkom.org/Presse/Presseinformation/Digitale-Behoerdengaenge-fallen-bei-der-Mehrheit-durch;Pressemitteilung;20.10.2020;
BITKOM;Corona-Soforthilfe;https://www.bitkom.org/Presse/Presseinformation/Corona-Krise-Wo-Startups-jetzt-Hilfe-bekommen;Pressemitteilung;02.04.2020;
BITKOM;Soforthilfen;https://www.bitkom.org/Presse/Presseinformation/Jedes-dritte-Startup-hat-Corona-Hilfen-erhalten;Pressemitteilung;11.06.2021;
BITKOM;Soforthilfen;https://www.bitkom.org/Presse/Presseinformation/Staatliche-Hilfen-kommen-bei-vielen-Startups-noch-nicht-an;Pressemitteilung;30.06.2020;
BITKOM;KfW-Kredite;https://www.bitkom.org/Presse/Presseinformation/Corona-Krise-Wo-Startups-jetzt-Hilfe-bekommen;Pressemitteilung;02.04.2020;
VDA;konjunkturpaket;https://www.vda.de/vda/de/presse/Pressemeldungen/200604-Statement-von-VDA-Praesidentin-Hildegard-Mueller-zum-Koalitionsausschuss;Pressemitteilung;04.06.2020;
VDA;konjunkturpaket;https://www.vda.de/vda/de/presse/Pressemeldungen/200907-Schwere-Nutzfahrzeuge-Westeurop-ischer-Markt-startet-auf-niedrigem-Niveau-in-zweite-Jahresh-lfte;Pressemitteilung;07.09.2020;
VDA;konjunkturpaket;https://www.vda.de/vda/de/presse/Pressemeldungen/200708-Ausbau-der-privaten-Ladeinfrastruktur-ist-zentraler-Hebel-f-r-den-Hochlauf-der-Elektromobilit-t;;08.07.2020;
VDA;konjunkturpaket;https://www.vda.de/vda/de/presse/Pressemeldungen/200610-Wachstum-auf-deutschem-Elektro-Pkw-Markt-zieht-im-Mai-weiter-an-;;10.06.2020;
VDA;konjunkturpaket;https://www.vda.de/vda/de/presse/Pressemeldungen/200619-EU-braucht--Kickstart--aus-der-Coronakrise;;19.06.2020;
VDA;Wirtschaftsstabilisierungsfonds;https://www.vda.de/vda/de/presse/Pressemeldungen/200825-Lage-bei-Zulieferern-weiter-sehr-angespannt;;25.08.2020;
VDA;Sozialschutz-Paket;https://www.vda.de/vda/de/presse/Pressemeldungen/210528_Fit-for-55_Wir-setzen-auf-Innovationen--Investitionen--Infrastruktur;;28.05.2021;
VDA;Sozialschutz-Paket;https://www.vda.de/vda/de/presse/Pressemeldungen/210714_Fit-for-55_Ambitionierte-Ziele-brauchen-Technologieoffenheit-und-die-richtigen-Rahmenbedingungen;;13.07.2021;
VDA;Sozialschutz-Paket;https://www.vda.de/vda/de/presse/Pressemeldungen/211206_Studie_Reiner-Elektrofahrzeug-Ansatz-w-rde-zu-Verlust-einer-halben-Million-Arbeitspl-tze-in-der-EU-f-hren;;06.12.2021;
VDA;Sozialschutz-Paket;https://www.vda.de/vda/de/presse/Pressemeldungen/200604-Statement-von-VDA-Praesidentin-Hildegard-Mueller-zum-Koalitionsausschuss;;04.06.2020;
